brand_name,brand_website,category,example_product_or_service,evidence_type,school_or_market,year,source_url,source_description,frequency_signal,public_or_private,ticker_if_known,confidence
Adidas,https://www.adidas.com,shoes,sneakers,named_in_ootd,multiple schools,2026,https://snobette.substack.com/p/bama-rush-as-a-sneaker-focus-group,Adidas spotted at Bama Rush,2,public,ADDYY,medium
Brooks,https://www.brooksrunning.com,shoes,running shoes,named_in_ootd,multiple schools,2026,https://snobette.substack.com/p/bama-rush-as-a-sneaker-focus-group,Brooks running shoes spotted at Bama Rush,2,public,BRC,medium
Pottery Barn Teen,https://www.pbteen.com,dorm-decor,sorority shop personalized dorm decor,rush_collection,multiple schools,2026,https://www.pbteen.com/shop/dorm/sorority-shop/,Has dedicated sorority shop section for dorm personalization,4,public,WSM,high
Stanley,https://www.stanley1913.com,accessories,tumblers and water bottles,named_in_ootd,multiple schools,2026,https://www.elitedaily.com/lifestyle/2025-bama-rushtok-bags-makeup-tech,Named in rush bag essentials content,4,public,STLY,high
YETI,https://www.yeti.com,accessories,tumblers and coolers,named_in_ootd,multiple schools,2026,https://www.elitedaily.com/lifestyle/2025-bama-rushtok-bags-makeup-tech,Named in rush drinkware content,3,public,YETI,high
J. Crew,https://www.jcrew.com,clothing,preppy dresses and tops,named_in_ootd,multiple schools,2026,https://www.sparklesandshoes.com/2025/08/best-sorority-rush-bags/,Named in sorority rush content,2,public,JCRW,medium
TJ Maxx,https://www.tjmaxx.tjx.com,clothing,jewelry and apparel,named_in_ootd,multiple schools,2026,https://www.swatchbyamda.com/blog/an-outfit-guide-to-2025-sorority-recruitment,Named as source for rush jewelry in outfit guide,2,public,TJX,high
European Wax Center,https://www.waxcenter.com,rush-services,waxing salon services pre-rush,sponsored_activation,multiple schools,2024-2025,https://www.morningbrew.com/stories/2024/09/15/sorority-rushtok-brand-attention,Sponsored sorority chapter as part of RushTok brand attention,4,public,EWCZ,high
Microsoft Surface,https://www.microsoft.com/en-us/surface,accessories,laptops and tablets,named_in_ootd,multiple schools,2024-2025,https://www.morningbrew.com/stories/2024/09/15/sorority-rushtok-brand-attention,Named in RushTok brand activation roundup,2,public,MSFT,low
Apple,https://www.apple.com,accessories,AirPods and iPhone,named_in_ootd,Alabama,2026,https://www.morningbrew.com/stories/2024/09/15/sorority-rushtok-brand-attention,Named in RushTok brand activation roundup,3,public,AAPL,medium
Dunkin',https://www.dunkindonuts.com,food-beverage,coffee and beverages,named_in_ootd,multiple schools,2026,https://www.hercampus.com/culture/8-brands-dominating-sorority-rush-2026/,"Named in ""8 brands dominating sorority rush 2026"" and beauty roundups",3,public,DNKN,high
Intuit TurboTax,https://turbotax.intuit.com,rush-services,financial software,sponsored_activation,multiple schools,2024-2025,https://www.morningbrew.com/stories/2024/09/15/sorority-rushtok-brand-attention,Named in Morning Brew sorority chapter brand activation roundup,2,public,INTU,low
Victoria's Secret PINK,https://www.victoriassecret.com/us/pink,clothing,sorority rush outfits collection,rush_collection,multiple schools,2026,https://www.victoriassecret.com/us/pink/new-arrivals/sorority-rush-outfits,Has dedicated sorority rush outfits page,4,public,VSCO,high
Levi's,https://www.levi.com,clothing,jeans and denim,named_in_ootd,multiple schools,2026,https://pantsstore.com/blogs/blog/sorority-rush-outfits,Named at Pants Store as rush outfit brand,2,public,LEVI,medium
American Eagle,https://www.ae.com,clothing,sorority recruitment campaign apparel,sponsored_activation,multiple schools,2026,https://www.tubefilter.com/2026/07/29/rushtok-2026-american-eagle-sorority-campaign/,American Eagle launched dedicated RushTok 2026 sorority campaign at UF and Alabama,5,public,AEO,high
Celsius,https://www.celsius.com,food-beverage,energy drinks,gifted_content,multiple schools,2024-2025,https://www.hercampus.com/culture/brands-that-dominated-fall-rush-2024-pr-gifts-sponsorships/,"Named in ""brands dominating fall rush 2024"" with PR gifts",3,public,CELH,high
Adobe,https://www.adobe.com,rush-services,creative software for sorority content,sponsored_activation,multiple schools,2026,https://oncampusnation.com/greek-life-brand-partnerships/,Named in Greek life brand partnerships,2,public,ADBE,low
Hulu,https://www.hulu.com,media,Secrets of Sorority Rush streaming show,rush_collection,multiple schools,2026,https://www.sororityprep.com/,Produced Secrets of Sorority Rush documentary featuring rush consultants,3,public,DIS,high
Madewell,https://www.madewell.com,clothing,denim and casual dresses,named_in_ootd,multiple schools,2026,https://www.hercampus.com/style/sorority-rush-dresses-2025/,Named in sorority rush style content,2,public,JCRW,medium
GrubHub,https://www.grubhub.com,food-beverage,food delivery gift cards,named_in_ootd,multiple schools,2026,https://www.sheknows.com/parenting/articles/1234918067/moms-sorority-rush-gifts/,GrubHub gift cards given as sorority rush gifts and happies,2,public,GRUB,medium
The Container Store,https://www.containerstore.com,dorm-decor,storage and organization college partnership,rush_collection,multiple schools,2026,https://markets.financialcontent.com/lightport.lightport3/article/bizwire-2023-6-22-the-container-store-elevates-its-college-business-through-partnership-with-dormify,Partnered with Dormify for college/sorority dorm market,2,public,TCS,medium
DSW Designer Shoe Warehouse,https://www.dsw.com,shoes,footwear retail,named_in_ootd,multiple schools,2026,https://chirpyest.com/blog/24-sorority-rush-ready-brands-start-shopping-for-rush-here/,Named as rush-ready shoe shopping destination,2,public,DBI,medium
Nordstrom,https://www.nordstrom.com,clothing,department store rush dresses and accessories,named_in_ootd,multiple schools,2026,https://collegelifemadeeasy.com/rush-dresses-sorority-recruitment/,Named in rush dress roundup as retailer,3,public,JWN,high
Target,https://www.target.com,clothing,affordable rush essentials,named_in_ootd,multiple schools,2026,https://www.elitedaily.com/lifestyle/2025-bama-rushtok-bags-makeup-tech,Named in Bama Rush rush bag essentials buying list,2,public,TGT,medium
Dillard's,https://www.dillards.com,clothing,sorority rush and recruitment dresses collection,rush_collection,multiple schools,2026,https://www.dillards.com/c/sorority-rush-recruitment-dresses,Has dedicated sorority rush and recruitment dresses category,3,public,DDS,high
Lifetime,https://www.lifetime.life,media,A Sorority Moms Guide to Rush TV show,rush_collection,multiple schools,2026,https://www.tvmaze.com/news/5203/a-sorority-moms-guide-to-rush-lifetime-sets-august-11-to-premiere-new-unscripted-series-a-sorority-moms-guide-to-rush,Produced reality show about sorority moms and rush week,3,public,LGF,high
Tiffany & Co.,https://www.tiffany.com,jewelry,bracelets and bangles,named_in_ootd,Alabama,2026,https://www.aol.com/breaking-down-much-really-costs-210000654.html,Named in Bama Rush OOTD cost breakdowns including $7820 bracelet stacks,4,public,TIF,high
Ralph Lauren,https://www.ralphlauren.com,clothing,polo shirts and prep apparel,named_in_ootd,multiple schools,2026,https://www.bloomberg.com/features/2016-sorority-fashion/,Classic preppy brand in sorority fashion ecosystem,3,public,RL,high
Tommy Hilfiger,https://usa.tommy.com,clothing,preppy collegiate apparel,named_in_ootd,multiple schools,2026,https://www.bloomberg.com/features/2016-sorority-fashion/,Classic preppy brand in sorority fashion ecosystem,2,public,PVH,medium
Kate Spade,https://www.katespade.com,handbags,canvas tote bags,named_in_ootd,multiple schools,2026,https://frostedevents.com/sorority-rush-bag-essentials/,Named as designer rush bag option,3,public,TAPSTRY,high
Coach,https://www.coach.com,handbags,tote bags and crossbody bags,named_in_ootd,multiple schools,2026,https://frostedevents.com/sorority-rush-bag-essentials/,Named as rush bag brand option,2,public,TPR,medium
Maybelline,https://www.maybelline.com,beauty,makeup products,named_in_ootd,multiple schools,2026,https://frostedevents.com/sorority-rush-bag-essentials/,Named in sorority rush bag beauty essentials,2,public,LRLCY,medium
Pandora,https://us.pandora.net,jewelry,charm bracelets and jewelry,named_in_ootd,multiple schools,2026,https://frostedevents.com/sorority-rush-bag-essentials/,Named in sorority rush context,3,public,PNDORA,medium
Aquaphor,https://www.aquaphorus.com,beauty,healing ointment for blisters,named_in_ootd,multiple schools,2026,https://frostedevents.com/sorority-rush-bag-essentials/,Named in sorority rush bag essentials for blister care,3,public,BCY,high
Marc Jacobs,https://www.marcjacobs.com,beauty,Daisy Eau So Fresh perfume popular with sorority women,brand_roundup_article,multi-school,2026,https://fragrancefamilia.com/blogs/fragrance-familia/perfumes-girls-smell-great-college-campus-sorority,Named in sorority fragrance guide as signature college campus scent,3,public,MOR,medium
Lancôme,https://www.lancome-usa.com,beauty,La Vie Est Belle Eau de Parfum for sorority rush,brand_roundup_article,multi-school,2026,https://fragrancefamilia.com/blogs/fragrance-familia/perfumes-girls-smell-great-college-campus-sorority,Named in sorority fragrance guide for college women,3,public,OR,medium
Tom Ford,https://www.tomford.com,beauty,Black Orchid Eau de Parfum luxury rush gift,brand_roundup_article,multi-school,2026,https://fragrancefamilia.com/blogs/fragrance-familia/perfumes-girls-smell-great-college-campus-sorority,Named in sorority fragrance guide as luxury option for Greek women,2,public,TFG,medium
Bloomingdale's,https://www.bloomingdales.com,clothing,luxury department store platform for rush dress shopping,brand_roundup_article,multi-school,2026,https://getintoasorority.com/uncategorized/preference-round-lookbook-inspo-fall-2025-rush-edition/,Featured as luxury shopping destination in sorority rush preference round lookbook,2,public,M,medium
Golden Goose,https://www.goldengoose.com,shoes,distressed luxury sneakers,named_in_ootd,multiple schools,2026,https://www.hercampus.com/style/how-much-bama-rush-ootds-cost-outfits-tiktok/,Named in Bama Rush OOTD cost breakdown,3,public,GGOB,high
Free People,https://www.freepeople.com,clothing,dresses and bohemian apparel,named_in_ootd,multiple schools,2026,https://www.hercampus.com/style/how-much-bama-rush-ootds-cost-outfits-tiktok/,Named in Bama Rush OOTD cost breakdown,3,public,URBN,high
